Clusters    0    1    2    3    4    5    6    7    8    9   10   11   12   13   14   15   16
Astrocytes    2    0   28    0  578    0    0    0   31    0   23    0    0    0    0    0    0
ccRG          0    0    1    0    0    0    2    4  464    6    0    0    0    0    0    0    0
ccvRG         7    2  550   10   31   14 2324    1   19 1669   77    1    1    2    0    0   53
CGE_IN     1129 2051   13    1    1    0    4    0    0    0   74   18   10    1    0    0    0
CGE_LGE_IN  331   47   44    1    0    0    0    0    0    0   27    1  327    0    0    0    0
INP         484    3 1239    0    4    0    0    1    0    0  247   11   27    0    0    0    0
IP            1    0    3    9    0    1    0 1650  290    0    2    3    1    0    1    0   59
L23          24   31   49  920  131 2055    0   46    7    0   14   18    2   10   23    0   21
L4            0    0    0   10    0    7    0    0    0    0    0    0    0    0  227    0    0
L56           2    1    1 1588    0   72    0  336    0    0    0    1    0    1   40    0   13
L6_CThPN      3    9    1  294   24  231    1   70    3    0    0  242    2  442    0    0   26
LGE_IN     1164   16    9    0    1    0    0    0    0    0   10    3    1    0    0    0    0
mesenchyme    1    1    0    0    0    0    1    0    0    3    0    0    0    0    0  317    0
oRG           0    0    2    0    2    0    0    0  676    0    0    1    0    0    0    0    0
RG            0    0    0    0    0    0    1    0  292    0    0    0    0    0    1    0    0
vRG          37    7 1468    0 2180    0   25    3    6    0 1097    3    2    0    0    0    0
